EventParameter,UniqueId,DTCClassRef,DemDtcValue
FAULT_BoschIP_VIP_InternalInterruptFailure,0xC6,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_Calib_A53_StaticWindscreenDistortionParametersImplausible,0xBC,DTC_MPC3_SupplierDatasetFailure,0x52FFFF
FAULT_Eth_ControllerAccessFailure,0xF069,DTC_MPC3_EthernetFailures,0x7C2009
FAULT_Eth_EthernetLinkDown,0xF068,DTC_MPC3_EthernetFailures,0x7C2009
FAULT_EvM_V3H_SWError,0xC0,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_Fan_Cable_Disconnected,0xF11F,DTC_MPC3_CoolingFanFailure,0x65FFE7
FAULT_Fan_Corrupt_Input,0xF11C,DTC_MPC3_CoolingFanFailure,0x65FFE7
FAULT_Fan_Permanently_Active,0xF11E,DTC_MPC3_CoolingFanFailure,0x65FFE7
FAULT_Fan_Speed_Too_Low,0xF11D,DTC_MPC3_CoolingFanFailure,0x65FFE7
FAULT_ISP_APU_UnintendedInterruptFailure,0xAD,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_LUKE_CV_V3H_LightHeader,0x1C,DTC_MPC3_InternalFunctionAlgorithmFailure,0xA8FFEE
FAULT_OS_APU_DRAMCRCFailure,0xBD,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_OV_RSF_AdasisPlausibilityError,0xF098,DTC_MPC3_AdasisMapDataError,0xF4FEF3
FAULT_OV_RSF_AdasisTimeout,0xF097,DTC_MPC3_AdasisMapDataTimeout,0xF4FEE9
FAULT_OV_RSF_DataErrorMandatoryInputFailure,0xF117,DTC_MPC3_VehicleDataError,0x10F4F3
FAULT_PEPSI_CV_V3H_LineHeader,0x1A,DTC_MPC3_InternalFunctionAlgorithmFailure,0xA8FFEE
FAULT_RSR_CV_V3H_TrafficHeader,0x1B,DTC_MPC3_InternalFunctionAlgorithmFailure,0xA8FFEE
FAULT_TOFU_CV_V3H_ObjectHeader,0x19,DTC_MPC3_InternalFunctionAlgorithmFailure,0xA8FFEE
FAULT_avtphandler_VideoOutFailure,0xF118,DTC_MPC3_VideoOutFailure,0x69FFFF
FAULT_clear_CLE_A53_BISTFailure,0x9E,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_disp_adapter_BoschIP_Disparity_MBISTFailure,0x72,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_disp_adapter_BoschIP_Disparity_SCAN1Failure,0x9C,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_disp_adapter_BoschIP_Disparity_SCAN2Failure,0x9D,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_fv_pdm_NVM_V3H_IntegrityFailure,0x50,DTC_MPC3_InternalMemoryFailure,0x74020C
FAULT_fv_pdm_NVM_V3H_RequestFailure,0x51,DTC_MPC3_InternalMemoryFailure,0x74020C
FAULT_fv_valin_full_performance_roller_bench_testmode,0x114,DTC_MPC3_TestMode,0xAFBFF
FAULT_fv_valin_generic_roller_bench_testmode,0x113,DTC_MPC3_TestMode,0xAFBFF
FAULT_imagerMon_IMP_A53_ASILRegisterStatusCheckFailureImager1,0xC8,DTC_MPC3_InternalImagerFailure,0x5DFFFF
FAULT_imagerMon_IMP_A53_DelayBufferCRCFailureImager1,0xC7,DTC_MPC3_InternalImagerFailure,0x5DFFFF
FAULT_imagerMon_IMP_A53_Imager1TempPlausibilityFailure,0x90,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_imagerMon_IMP_A53_Imager_1_Challenge_Response_Failure,0x83,DTC_MPC3_InternalImagerFailure,0x5DFFFF
FAULT_imagerMon_IMP_A53_SM_CHIP_SUPPLY_VOLTAGE_MONITOR_HDRLong_Imager1,0xC1,DTC_MPC3_InternalImagerFailure,0x5DFFFF
FAULT_imagerMon_IMP_A53_SM_CHIP_SUPPLY_VOLTAGE_MONITOR_HDRshort_Imager1,0xC2,DTC_MPC3_InternalImagerFailure,0x5DFFFF
FAULT_imagerMon_IMP_A53_SM_CHIP_SUPPLY_VOLTAGE_MONITOR_LFMImager1,0xC3,DTC_MPC3_InternalImagerFailure,0x5DFFFF
FAULT_imagerMon_IMP_A53_SM_STAT_MON_EXT_Imager1,0x87,DTC_MPC3_InternalImagerFailure,0x5DFFFF
FAULT_imagerMon_IMP_A53_VoltageFailureImager1,0x85,DTC_MPC3_InternalImagerFailure,0x5DFFFF
FAULT_imagerMon_IMP_V3H_RuntimeFailureImager1,0x81,DTC_MPC3_InternalImagerFailure,0x5DFFFF
FAULT_imagerMon_IMP_V3H_TempImager1Failure,0x92,DTC_MPC3_TemporaryHighTemp,0x62FFE0
FAULT_imager_cal_Calib_A53_IntrinsicsImplausibleFailure,0x52,DTC_MPC3_PermanentFailure,0xBFFEC
FAULT_imager_cal_Calib_A53_IntrisicCalibrationMissingFailure,0x53,DTC_MPC3_ECUSoftwareFailure,0x59FFFF
FAULT_imgStartupTest_IBS_A53_Imager1StartUpTestFailure,0x7F,DTC_MPC3_InternalImagerFailure,0x5DFFFF
FAULT_imrAdapter_IMR_A53_BISTFailure,0x71,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_imrAdapter_IMR_A53_ConfigurationRegisterFaiure,0x88,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_imrAdapter_IMR_A53_LBISTFailure,0x8A,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_ispAdapter_IMG_APU_InitFailure,0x77,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ispAdapter_IMG_APU_RuntimeFailure,0x7B,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ispAdapter_ISP_APU_InitFailure,0x79,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ispAdapter_MIPI_APU_InitFailure,0x7C,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ispAdapter_MIPI_APU_InterruptFailure,0x7D,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ispAdapter_VIN_APU_InterruptFailure,0x7A,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ispAdapter_VIN_APU_VINFailure,0x78,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_net_COM_EthernetLinkdown_Appl_Failure,0xF064,DTC_MPC3_EthernetFailures,0x7C2009
FAULT_net_COM_R7_MACAddressFailure,0xBF,DTC_MPC3_PermanentFailure,0xBFFEC
FAULT_ocal_Calib_A53_InitialExtrinsicCalibrationMissing,0x1,DTC_MPC3_CalibrationMissing,0x44FFED
FAULT_ocal_Calib_A53_InitialExtrinsicCalibrationOutOfRange,0x2,DTC_MPC3_InitialCalibrationOutOfRange,0x47FFED
FAULT_ocal_Calib_A53_OCALEstimatedHeight,0xF09E,DTC_MPC3_TemporaryCalibrationFailure,0x49FFED
FAULT_ocal_Calib_A53_OCALInputFailure,0x3,DTC_MPC3_OnlineCalibrationFailure,0x48FFED
FAULT_ocal_Calib_A53_OCALOutofRange,0x4,DTC_MPC3_TemporaryCalibrationFailure,0x49FFED
FAULT_ocal_Calib_A53_OCALRuntimeFailure,0x5,DTC_MPC3_TemporaryCalibrationFailure,0x49FFED
FAULT_ocal_Calib_A53_OCALSuspensionHeightFL,0xF09A,DTC_MPC3_TemporaryCalibrationFailure,0x49FFED
FAULT_ocal_Calib_A53_OCALSuspensionHeightFR,0xF09B,DTC_MPC3_TemporaryCalibrationFailure,0x49FFED
FAULT_ocal_Calib_A53_OCALSuspensionHeightRL,0xF09C,DTC_MPC3_TemporaryCalibrationFailure,0x49FFED
FAULT_ocal_Calib_A53_OCALSuspensionHeightRR,0xF09D,DTC_MPC3_TemporaryCalibrationFailure,0x49FFED
FAULT_ocal_Calib_A53_iOCALInputFailure,0x6,DTC_MPC3_InitialOnlineCalibrationFailure,0x46FFED
FAULT_ocal_Calib_A53_iOCALTimeOut,0x8,DTC_MPC3_InitialOnlineCalibrationFailure,0x46FFED
FAULT_os_BoschIP_SFC_HWError,0xA2,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_os_IBS_V3H_A53COOLFailure,0x54,DTC_MPC3_OSFailure,0x5AFFFF
FAULT_os_IBS_V3H_A53DADDYFailure,0x55,DTC_MPC3_OSFailure,0x5AFFFF
FAULT_os_IBS_V3H_A53HardCPUExceptionFailure,0x56,DTC_MPC3_OSFailure,0x5AFFFF
FAULT_os_IBS_V3H_A53TaskAliveFailure,0x57,DTC_MPC3_OSFailure,0x5AFFFF
FAULT_os_IBS_V3H_A53TaskLimitFailure,0x58,DTC_MPC3_OSFailure,0x5AFFFF
FAULT_os_IBS_V3H_A53TaskSequenceFailure,0x59,DTC_MPC3_OSFailure,0x5AFFFF
FAULT_os_IBS_V3H_R7COOLFailure,0x5A,DTC_MPC3_OSFailure,0x5AFFFF
FAULT_os_IBS_V3H_R7DADDYFailure,0x5B,DTC_MPC3_OSFailure,0x5AFFFF
FAULT_os_IBS_V3H_R7HardCPUExceptionFailure,0x5C,DTC_MPC3_OSFailure,0x5AFFFF
FAULT_os_IBS_V3H_R7TaskAliveFailure,0x5D,DTC_MPC3_OSFailure,0x5AFFFF
FAULT_os_IBS_V3H_R7TaskLimitFailure,0x5E,DTC_MPC3_OSFailure,0x5AFFFF
FAULT_os_IBS_V3H_R7TaskSequenceFailure,0x5F,DTC_MPC3_OSFailure,0x5AFFFF
FAULT_os_Security_ICUMX_SecureBootFailureApplication,0x93,DTC_MPC3_SecureBootFailure,0x66FFFF
FAULT_ov_dia_CameraParametersUpdated_Failure,0xF103,DTC_MPC3_ParametersUpdated,0x51FFE2
FAULT_ov_dia_ExtrinsicCalibReset,0xF109,DTC_MPC3_ParametersUpdated,0x51FFE2
FAULT_ov_dia_IHCParametersUpdated_Failure,0xF10D,DTC_MPC3_ParametersUpdated,0x51FFE2
FAULT_ov_dia_LinePrioritizationUpdated_Failure,0xF119,DTC_MPC3_ParametersUpdated,0x51FFE2
FAULT_ov_dia_RSFParametersUpdated_Failure,0xF104,DTC_MPC3_ParametersUpdated,0x51FFE2
FAULT_ov_dia_VSS_TP_VIN_ST3_TO_FAILURE,0xF120,DTC_MPC3_VINTimeout,0x54FFFF
FAULT_ov_dia_VariantCodingDataIncorrect,0xF111,DTC_MPC3_ParametersIncorrect,0xAD2102
FAULT_ov_net_CentralGatewayLost,0xF115,DTC_MPC3_CentralGatewayLost,0x5FFF3
FAULT_ov_net_TD_ICUC_TO_Failure,0xF006,DTC_MPC3_ICUCDataTimeout,0xC9FFE9
FAULT_ov_net_VehCfg_AR5_E2E_Failure,0xF007,DTC_MPC3_VRDUDataError,0xC8FFF3
FAULT_ov_net_VehCfg_AR5_TO_Failure,0xF001,DTC_MPC3_VRDUDataTimeout,0xC8FFE9
FAULT_ov_net_VehDyn_AR5_E2E_Failure,0xF008,DTC_MPC3_VRDUDataError,0xC8FFF3
FAULT_ov_net_VehDyn_AR5_TO_Failure,0xF004,DTC_MPC3_VRDUDataTimeout,0xC8FFE9
FAULT_ov_net_VehStat_AR5_E2E_Failure,0xF009,DTC_MPC3_VRDUDataError,0xC8FFF3
FAULT_ov_net_VehStat_AR5_TO_Failure,0xF005,DTC_MPC3_VRDUDataTimeout,0xC8FFE9
FAULT_ov_prm_CameraHeightOverGroundImplausible,0xF112,DTC_MPC3_ParametersMissing,0x4FBE2
FAULT_ov_prm_CameraParametersMissing_Failure,0xF102,DTC_MPC3_ParametersMissing,0x4FBE2
FAULT_ov_prm_IHCParametersMissing_Failure,0xF10C,DTC_MPC3_ParametersMissing,0x4FBE2
FAULT_ov_valin_DataError_Failure,0xF10A,DTC_MPC3_VehicleDataError,0x10F4F3
FAULT_ov_valin_OffboardTesterStateInvalid,0xF116,DTC_MPC3_CentralGatewayLost,0x5FFF3
FAULT_prm_PARAM_R7_DatasetCarVariantMissingFailure,0xD,DTC_MPC3_ParametersMissing,0x4FBE2
FAULT_prm_PARAM_R7_DatasetCorruptFailure,0x9,DTC_MPC3_SupplierDatasetFailure,0x52FFFF
FAULT_prm_PARAM_R7_DatasetImplausibleFailure,0xA,DTC_MPC3_SupplierDatasetFailure,0x52FFFF
FAULT_prm_PARAM_R7_DatasetMissingFailure,0xB,DTC_MPC3_SupplierDatasetFailure,0x52FFFF
FAULT_prm_PARAM_R7_DatasetSecureBootFailure,0xB3,DTC_MPC3_SupplierDatasetFailure,0x52FFFF
FAULT_prm_PARAM_R7_IntrinsicCalibrationCorrupted,0x8E,DTC_MPC3_PermanentFailure,0xBFFEC
FAULT_prm_PARAM_R7_ParametersNotAvailable,0x1D,DTC_MPC3_ParametersMissing,0x4FBE2
FAULT_prm_PARAM_R7_StaticConfigCalibrationMissing,0xB6,DTC_MPC3_PermanentFailure,0xBFFEC
FAULT_prm_PARAM_R7_StaticConfigProductionDataMissingFailure,0xB4,DTC_MPC3_PermanentFailure,0xBFFEC
FAULT_pva_adapter_PVA_APU_BISTFailure,0x6F,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_pva_adapter_PVA_APU_BusInterfaceFailure,0x70,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_r2dtwo_Calib_A53_CalibrationR2DTWOInputFailure,0xE,DTC_MPC3_ECUSoftwareFailure,0x59FFFF
FAULT_r2dtwo_Calib_A53_R2DTWORuntimeFailure,0xF,DTC_MPC3_ECUSoftwareFailure,0x59FFFF
FAULT_scal_Calib_A53_SCALInputFailure,0x10,DTC_MPC3_StaticCalibrationFailure,0x45FFED
FAULT_scal_Calib_A53_SCALRuntimeFailure,0x11,DTC_MPC3_StaticCalibrationFailure,0x45FFED
FAULT_sce_IMP_A53_PermanentBlindness,0x61,DTC_MPC3_Blindness,0x63FFEE
FAULT_smdEstAdapter_BoschIP_SMDEST_BISTFailure,0x74,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_smdEstAdapter_BoschIP_SMDEST_CRCFailure,0x9F,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_smdEstAdapter_BoschIP_SMDEST_SCAN1Failure,0x98,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_smdEstAdapter_BoschIP_SMDEST_SCAN2Failure,0x99,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_smdEstAdapter_BoschIP_SMDEST_VectorCountFailure,0xA0,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_smdPostAdapter_BoschIP_SMDPOST_MBISTFailure,0x73,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_smdPostAdapter_BoschIP_SMDPOST_SCAN1Failure,0x9A,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_smdPostAdapter_BoschIP_SMDPOST_SCAN2Failure,0x9B,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_smdPsAdapter_BoschIP_SMDPS_MBISTFailure,0x75,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_smdPsAdapter_BoschIP_SMDPS_SCAN1Failure,0x96,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_smdPsAdapter_BoschIP_SMDPS_SCAN2Failure,0x97,DTC_MPC3_InternalTestFailures,0x5CFFFF
FAULT_smdPsAdapter_BoschIP_SMDPS_VectorCountCopyFailure,0xA1,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssa_dia_Version_Mismatch,0xF10B,DTC_MPC3_SSADiagnosticVariantError,0x9FFFF
FAULT_ssm_IBS_D1_SuC_CVMPeriodicalCheckFailure,0xB1,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_D1_SuC_CVMReferenceValuesFailure,0xB0,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_D1_SuC_CVMStartupCheckSuCTimeout,0xB2,DTC_MPC3_ECUSupervisionFailure,0x58FFFF
FAULT_ssm_IBS_RAM_ECUDefect,0x64,DTC_MPC3_PermanentFailure,0xBFFEC
FAULT_ssm_IBS_RAM_TestFailure,0x65,DTC_MPC3_PermanentFailure,0xBFFEC
FAULT_ssm_IBS_ROM_ChecksumFailure,0x66,DTC_MPC3_ROMCorrupted,0x740202
